-114.353,53.675,ALBE/Alberta Beach Family RV Park   CP PH:780.924.2333 mid may-late sep  SITES:30  AMEN:WES approx  mi  of Alberta Beach  53.675 -114.353,ALBE,Alberta Beach Family RV Park ,CP
-112.332,53.88,ANDR/Andrew RV Park  CP PH:780.365.3687 mid may-late aug COMM:no tents SITES:15  AMEN:WES approx  mi  of Andrew  53.88 -112.332,ANDR,Andrew RV Park,CP
-113.962,52.034,ANTH/Anthony Henday   CP PH:403.318.3508 mid may-mid oct COMM:pull thrus SITES:45  AMEN:E DP SH RS approx  mi  of Innisfail  52.034 -113.962,ANTH,Anthony Henday ,CP
-110.59,52.75,ARML/Arm Lake Rec Area  CP PH:780.842.4727 mid may-mid oct COMM:big rigs OK SITES:100  AMEN:WE approx  mi  of Wainwright  52.75 -110.59,ARML,Arm Lake Rec Area,CP
-117.164,58.49,ASPE/Aspen Ridge   CP PH:780.926.4540   SITES:40  AMEN:WES approx  mi  of High Level  58.49 -117.164,ASPE,Aspen Ridge ,CP
-116.073,52.396,AYLM/Aylmer Provincial Rec Area  PP PH:403.845.8349   SITES:7 EL:3925 AMEN:NR  52.396 -116.073,AYLM,Aylmer Provincial Rec Area,PP
-113.532,54.733,BAPT/Baptiste Lake  CP  mid may-mid sep  SITES:10  AMEN:NH approx  mi  of Athabasca  54.733 -113.532,BAPT,Baptiste Lake,CP
-112.463,50.787,BASS/Bassano Homecoming Trailer Park  CP PH:403.641.3788 mid may-late oct  SITES:20  AMEN:WE approx  mi  of Bassano  50.787 -112.463,BASS,Bassano Homecoming Trailer Park,CP
-110.027,49.652,BATT/Battle Creek - Cypress Hills Interprov. Park  PP PH:403.893.3833   SITES:16 EL:4026 AMEN:NR approx 0.6 mi W of Elkwater 49.652 -110.027,BATT,Battle Creek - Cypress Hills Interprov. Park,PP
-114.167,52.966,BATT/Battle Lake Park   CP PH:780.586.0722 all year  SITES:40  AMEN:DP SH approx  mi  of Wetaskiwin  52.966 -114.167,BATT,Battle Lake Park ,CP
